GeneID:ID|Synonyms:String[]|Description|Source|:Label
PCYC:LMRG_01664|LMRG_01664|Lactoylglutathione lyase (EC 4.4.1.5)|PlantCyc_Gene|Gene
PCYC:LMRG_01176|LMRG_01176|Internalin-like protein Lmo2470 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_00244|LMRG_00244|Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19)|PlantCyc_Gene|Gene
PCYC:LMRG_02978|LMRG_02978|FIG117624: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00982|LMRG_00982|Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)|PlantCyc_Gene|Gene
PCYC:LMRG_02578|LMRG_02578|LSU m3Psi1915 methyltransferase RlmH ## ybeA|PlantCyc_Gene|Gene
PCYC:LMRG_00169|LMRG_00169|FIG009286: transcriptional regulator, LysR family|PlantCyc_Gene|Gene
PCYC:LMRG_01779|LMRG_01779|FIG007286: amino acid permease family protein|PlantCyc_Gene|Gene
PCYC:LMRG_02085|LMRG_02085|FIG008250: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00247|LMRG_00247|imidazole glycerol phosphate synthase|PlantCyc_Gene|Gene
PCYC:LMRG_01902|LMRG_01902|Sialic acid utilization regulator, RpiR family|PlantCyc_Gene|Gene
PCYC:LMRG_02442|qoxA;lmo0013|AA3-600 quinol oxidase subunit II|PlantCyc_Gene|Gene
PCYC:LMRG_00787|LMRG_00787|Putative membrane peptidase, contains TPR repeat domain|PlantCyc_Gene|Gene
PCYC:LMRG_02882|LMRG_02882|FIG008922: Transcriptional regulator, TetR family|PlantCyc_Gene|Gene
PCYC:LMRG_02755|LMRG_02755|4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)|PlantCyc_Gene|Gene
PCYC:LMRG_00398|LMRG_00398|FIG007335: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01748|LMRG_01748|Phosphate regulon sensor protein PhoR (EC 2.7.3.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01208|LMRG_01208|Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA|PlantCyc_Gene|Gene
PCYC:LMRG_01435|LMRG_01435|FIG000859: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02061|LMRG_02061|LemA protein|PlantCyc_Gene|Gene
PCYC:LMRG_02619|LMRG_02619|Protein of unknown function identified by role in sporulation (SpoVG)|PlantCyc_Gene|Gene
PCYC:LMRG_00760|LMRG_00760|Co-activator of prophage gene expression IbrA|PlantCyc_Gene|Gene
PCYC:LMRG_01996|LMRG_01996|FIG015094: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01946|LMRG_01946|FIG001397: Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) / Aminodeoxychorismate lyase (EC 4.1.3.38)|PlantCyc_Gene|Gene
PCYC:LMRG_02272|LMRG_02272|FIG013181: amidase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_01939|LMRG_01939|ATP-dependent DNA helicase RecQ|PlantCyc_Gene|Gene
PCYC:LMRG_01335|LMRG_01335|Anthranilate phosphoribosyltransferase (EC 2.4.2.18)|PlantCyc_Gene|Gene
PCYC:LMRG_02806|LMRG_02806|Tagatose-1,6-bisphosphate aldolase AgaY (EC 4.1.2.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00476|LMRG_00476|FIG010012: Activator of (R)-2-hydroxyglutaryl-CoA dehydratase|PlantCyc_Gene|Gene
PCYC:LMRG_02233|LMRG_02233|Cell division protein FtsW|PlantCyc_Gene|Gene
PCYC:LMRG_02614|LMRG_02614|PurR: transcription regulator associated with purine metabolism|PlantCyc_Gene|Gene
PCYC:LMRG_01215|LMRG_01215|FIG007350: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00525|LMRG_00525|ABC transporter domain protein|PlantCyc_Gene|Gene
PCYC:LMRG_00887|LMRG_00887|Dihydrodipicolinate synthase (EC 4.2.1.52)|PlantCyc_Gene|Gene
PCYC:LMRG_00480|LMRG_00480|FIG008225: hydrolase, carbon-nitrogen family|PlantCyc_Gene|Gene
PCYC:LMRG_01750|LMRG_01750|Phosphate transport system permease protein PstC (TC 3.A.1.7.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01928|LMRG_01928|FIG008344: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01036|LMRG_01036|FIG005686: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01518|LMRG_01518|Protein gp41 [Bacteriophage A118]|PlantCyc_Gene|Gene
PCYC:LMRG_02351|LMRG_02351|FIG007201: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01417|LMRG_01417|FIG000106: Dihydrofolate synthase (EC 6.3.2.12) / Folylpolyglutamate synthase (EC 6.3.2.17)|PlantCyc_Gene|Gene
PCYC:LMRG_01744|LMRG_01744|peptidoglycan lytic protein P45|PlantCyc_Gene|Gene
PCYC:LMRG_00611|LMRG_00611|Propionate kinase, propanediol utilization (EC 2.7.2.1)|PlantCyc_Gene|Gene
PCYC:LMRG_00966|LMRG_00966|Ribosome small subunit-stimulated GTPase EngC|PlantCyc_Gene|Gene
PCYC:LMRG_01643|LMRG_01643|FIG002141: Competence protein CoiA|PlantCyc_Gene|Gene
PCYC:LMRG_00859|LMRG_00859|FIG000721: Pyruvate formate-lyase activating enzyme (EC 1.97.1.4)|PlantCyc_Gene|Gene
PCYC:LMRG_01979|LMRG_01979|Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01282|LMRG_01282|FIG008778: Transcriptional regulator|PlantCyc_Gene|Gene
PCYC:LMRG_02136|LMRG_02136|FIG004334: CRISPR-associated protein Cas2|PlantCyc_Gene|Gene
PCYC:LMRG_02583|yycG;lmo0288|Two-component sensor histidine kinase YycG|PlantCyc_Gene|Gene
PCYC:LMRG_01869|LMRG_01869|FIG006770: Nitroreductase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_00736|LMRG_00736|Topoisomerase IV subunit B (EC 5.99.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_01954|LMRG_01954|FIG007005: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00500|LMRG_00500|FIG002742: Molybdenum transport ATP-binding protein ModC (TC 3.A.1.8.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02772|LMRG_02772;lmo1698|Putative ribosomal-protein-alanine N-acetyltransferase|PlantCyc_Gene|Gene
PCYC:LMRG_01847|LMRG_01847|Hypothetical NagD-like phosphatase|PlantCyc_Gene|Gene
PCYC:LMRG_02148|LMRG_02148|FIG011238: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01284|LMRG_01284;lmo2130|Amino acid permease|PlantCyc_Gene|Gene
PCYC:LMRG_02013|gabD;lmo0913|Succinate-semialdehyde dehydrogenase|PlantCyc_Gene|Gene
PCYC:LMRG_01114|LMRG_01114|FIG007934: Tellurite resistance protein|PlantCyc_Gene|Gene
PCYC:LMRG_02422|LMRG_02422|Transcriptional regulator of rhamnose utilization, AraC family|PlantCyc_Gene|Gene
PCYC:LMRG_00778|LMRG_00778|tRNA pseudouridine synthase B (EC 4.2.1.70) ## tRNA Psi55|PlantCyc_Gene|Gene
PCYC:LMRG_01388|LMRG_01388|Alanine dehydrogenase (EC 1.4.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01751|LMRG_01751|Phosphate transport system permease protein PstA (TC 3.A.1.7.1)|PlantCyc_Gene|Gene
PCYC:LMRG_00423|LMRG_00423|D-allulose-6-phosphate 3-epimerase (EC 5.1.3.-), row_id 846|PlantCyc_Gene|Gene
PCYC:LMRG_01702|LMRG_01702|Homoserine kinase (EC 2.7.1.39)|PlantCyc_Gene|Gene
PCYC:LMRG_00163|LMRG_00163|FIG000293: Ribosomal RNA large subunit methyltransferase N (EC 2.1.1.-)|PlantCyc_Gene|Gene
PCYC:LMRG_00021|LMRG_00021|FIG007833: Internalin-like protein (LPXTG motif) Lmo0327 homolog / murein-hydrolysing domain|PlantCyc_Gene|Gene
PCYC:LMRG_00104|LMRG_00104|FIG009242: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02052|LMRG_02052;lmo0953|hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02022|LMRG_02022|Pantothenate kinase (EC 2.7.1.33)|PlantCyc_Gene|Gene
PCYC:LMRG_01117|LMRG_01117|FIG024909: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00166|LMRG_00166|Putative nitroreductase family protein SACOL0874|PlantCyc_Gene|Gene
PCYC:LMRG_01683|LMRG_01683|P26|PlantCyc_Gene|Gene
PCYC:LMRG_02590|LMRG_02590|FIG007179: cyclic nucleotide-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_01254|LMRG_01254|FIG026042: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00865|LMRG_00865|Putative peptidoglycan bound protein (LPXTG motif) Lmo1413 homolog|PlantCyc_Gene|Gene
PCYC:LMRG_01350|LMRG_01350|FIG001733: aminoglycoside phosphotransferase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_00559|LMRG_00559|FIG025222: Transcriptional regulator, AraC family|PlantCyc_Gene|Gene
PCYC:LMRG_00870|LMRG_00870|Alkaline phosphodiesterase I (EC 3.1.4.1) / Nucleotide pyrophosphatase (EC 3.6.1.9)|PlantCyc_Gene|Gene
PCYC:LMRG_00314|LMRG_00314|PTS system, fructose-specific IIA component (EC 2.7.1.69)|PlantCyc_Gene|Gene
PCYC:LMRG_00461|LMRG_00461|FIG033980: Alcohol dehydrogenase (EC 1.1.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_00034|LMRG_00034|Transaldolase (EC 2.2.1.2)|PlantCyc_Gene|Gene
PCYC:LMRG_01705|LMRG_01705|FIG003217: Methylase of polypeptide chain release factors|PlantCyc_Gene|Gene
PCYC:LMRG_00524|LMRG_00524|FIG009333: ABC transporter, permease protein|PlantCyc_Gene|Gene
PCYC:LMRG_02559|LMRG_02559|Flavodoxin|PlantCyc_Gene|Gene
PCYC:LMRG_02550|LMRG_02550|FIG007715: NtrC family Transcriptional regulator, ATPase domain|PlantCyc_Gene|Gene
PCYC:LMRG_00537|LMRG_00537|Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)|PlantCyc_Gene|Gene
PCYC:LMRG_00561|LMRG_00561|FIG036034: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00448|LMRG_00448|FIG002160: Carboxylesterase (EC 3.1.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_01786|LMRG_01786|Microsomal dipeptidase precursor (EC 3.4.13.19)|PlantCyc_Gene|Gene
PCYC:LMRG_01797|LMRG_01797|FIG001563: Preprotein translocase subunit SecG (TC 3.A.5.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02280|LMRG_02280|FIG009049: hydrolase, alpha/beta fold family|PlantCyc_Gene|Gene
PCYC:LMRG_00675|LMRG_00675|FIG008283: Z-ring-associated protein|PlantCyc_Gene|Gene
PCYC:LMRG_01260|LMRG_01260|FIG008626: Ser/Thr protein phosphatase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_02121|liaS;lmo1021|histidine kinase|PlantCyc_Gene|Gene
PCYC:LMRG_00860|LMRG_00860|Transcriptional regulator, PadR family|PlantCyc_Gene|Gene
PCYC:LMRG_01438|LMRG_01438|Holliday junction DNA helicase RuvB|PlantCyc_Gene|Gene
PCYC:LMRG_01476|LMRG_01476|5'-methylthioadenosine nucleosidase (EC 3.2.2.16) / S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)|PlantCyc_Gene|Gene
PCYC:LMRG_01171|LMRG_01171|Cysteine desulfurase (EC 2.8.1.7)|PlantCyc_Gene|Gene
PCYC:LMRG_02513|LMRG_02513|DNA ligase (EC 6.5.1.2)|PlantCyc_Gene|Gene
PCYC:LMRG_01809|LMRG_01809|FIG007568: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00819|LMRG_00819|Phosphate butyryltransferase (EC 2.3.1.19)|PlantCyc_Gene|Gene
PCYC:LMRG_01402|LMRG_01402|DNA polymerase I (EC 2.7.7.7)|PlantCyc_Gene|Gene
PCYC:LMRG_00908|LMRG_00908|FIG005270: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01543|LMRG_01543|Protein gp14 [Bacteriophage A118]|PlantCyc_Gene|Gene
PCYC:LMRG_02974|LMRG_02974|FIG007060: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01459|LMRG_01459|FIG012010: carboxymethylenebutenolidase-related protein|PlantCyc_Gene|Gene
PCYC:LMRG_01318|LMRG_01318|FIG007250: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00530|LMRG_00530|FIG018672: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02332|LMRG_02332|FIG007631: oxidoreductase, aldo/keto reductase family|PlantCyc_Gene|Gene
PCYC:LMRG_01960|LMRG_01960|Glycerate kinase (EC 2.7.1.31)|PlantCyc_Gene|Gene
PCYC:LMRG_01039|LMRG_01039|Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-) / Penicillin-binding protein 1A/1B (PBP1)|PlantCyc_Gene|Gene
PCYC:LMRG_01024|LMRG_01024|FIG004280: Mn-dependent transcriptional regulator MntR|PlantCyc_Gene|Gene
PCYC:LMRG_00175|LMRG_00175|lipase/acylhydrolase family protein|PlantCyc_Gene|Gene
PCYC:LMRG_02270|LMRG_02270|FIG011395: Glutamine ABC transporter, periplasmic glutamine-binding protein (TC 3.A.1.3.2) / Glutamine transport system permease protein glnP (TC 3.A.1.3.2)|PlantCyc_Gene|Gene
PCYC:LMRG_00204|LMRG_00204|FIG008711: Permeases of the major facilitator superfamily|PlantCyc_Gene|Gene
PCYC:LMRG_01222|LMRG_01222|FIG009129: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02969|LMRG_02969|ATP synthase F1, delta subunit|PlantCyc_Gene|Gene
PCYC:LMRG_00681|LMRG_00681|FIG000132: Aspartokinase (EC 2.7.2.4)|PlantCyc_Gene|Gene
PCYC:LMRG_01657|LMRG_01657|FIG008608: oxidoreductase, short-chain dehydrogenase/reductase family|PlantCyc_Gene|Gene
PCYC:LMRG_01199|LMRG_01199|FIG007079: UPF0348 protein family|PlantCyc_Gene|Gene
PCYC:LMRG_02169|LMRG_02169|LSU ribosomal protein L16p (L10e)|PlantCyc_Gene|Gene
PCYC:LMRG_01757|LMRG_01757|Nucleotidase YfbR, HD superfamily|PlantCyc_Gene|Gene
PCYC:LMRG_00647|LMRG_00647|Uroporphyrinogen-III methyltransferase / Uroporphyrinogen-III synthase|PlantCyc_Gene|Gene
PCYC:LMRG_02729|LMRG_02729|FIG055998: Na(+) H(+) antiporter subunit G|PlantCyc_Gene|Gene
PCYC:LMRG_02963|LMRG_02963|FIG001362: Cellobiose phosphotransferase system YdjC-like protein|PlantCyc_Gene|Gene
PCYC:LMRG_01871|LMRG_01871|FIG006780: Transcriptional regulator, MarR family|PlantCyc_Gene|Gene
PCYC:LMRG_02245|LMRG_02245|FIG007390: acetyltransferase, GNAT family|PlantCyc_Gene|Gene
PCYC:LMRG_01502|LMRG_01502|Hypothetical sugar kinase in cluster with indigoidine synthase indA , PfkB family of kinases|PlantCyc_Gene|Gene
PCYC:LMRG_02694|LMRG_02694|FIG010004: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02048|LMRG_02048|FIG006865: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02829|LMRG_02829|LSU ribosomal protein L20p|PlantCyc_Gene|Gene
PCYC:LMRG_00199|LMRG_00199|FIG009087: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02938|LMRG_02938|Serine acetyltransferase (EC 2.3.1.30)|PlantCyc_Gene|Gene
PCYC:LMRG_00785|LMRG_00785|LSU ribosomal protein L33p|PlantCyc_Gene|Gene
PCYC:LMRG_01793|eno;lmo2455|Enolase|PlantCyc_Gene|Gene
PCYC:LMRG_01341|LMRG_01341|FIG102553: Membrane protein involved in the export of O-antigen, teichoic acid lipoteichoic acids|PlantCyc_Gene|Gene
PCYC:LMRG_00570|LMRG_00570|FIG007930: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00873|LMRG_00873|Glycine betaine ABC transport system, ATP-binding protein OpuAA (EC 3.6.3.32)|PlantCyc_Gene|Gene
PCYC:LMRG_00999|LMRG_00999|heavy metal-binding protein|PlantCyc_Gene|Gene
PCYC:LMRG_00298|LMRG_00298|FIG006965: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_01300|LMRG_01300|L-lactate dehydrogenase (EC 1.1.1.27)|PlantCyc_Gene|Gene
PCYC:LMRG_01876|LMRG_01876|FIG007974: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02444|qoxC;lmo0015|AA3-600 quinol oxidase subunit III|PlantCyc_Gene|Gene
PCYC:LMRG_02949|LMRG_02949|FIG009564: Late competence protein ComEC, DNA transport|PlantCyc_Gene|Gene
PCYC:LMRG_01236|LMRG_01236;lmo2085|Peptidoglycan bound protein (LPXTG motif)|PlantCyc_Gene|Gene
PCYC:LMRG_00122|LMRG_00122|FIG007771: transcriptional regulator, LysR family|PlantCyc_Gene|Gene
PCYC:LMRG_02475|LMRG_02475|SSU ribosomal protein S18p|PlantCyc_Gene|Gene
PCYC:LMRG_01186|LMRG_01186|FIG000221: Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)|PlantCyc_Gene|Gene
PCYC:LMRG_01678|LMRG_01678|Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02817|LMRG_02817|FIG000312: 16S rRNA processing protein RimM|PlantCyc_Gene|Gene
PCYC:LMRG_00741|oatA;lmo1291|peptidoglycan O-acetyltransferase|PlantCyc_Gene|Gene
PCYC:LMRG_01805|LMRG_01805|FIG009642: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00454|LMRG_00454|FIG007586: ABC transporter, permease protein|PlantCyc_Gene|Gene
PCYC:LMRG_01060|LMRG_01060|Lmo1913 protein|PlantCyc_Gene|Gene
PCYC:LMRG_00482|LMRG_00482;lmo0794|putative Rrf2-linked NADH-flavin reductase|PlantCyc_Gene|Gene
PCYC:LMRG_01507|LMRG_01507|1-phosphofructokinase( EC:2.7.1.56 )|PlantCyc_Gene|Gene
PCYC:LMRG_00404|LMRG_00404|FIG008570: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02837|LMRG_02837|FIG000580: tRNA dihydrouridine synthase B (EC 1.-.-.-)|PlantCyc_Gene|Gene
PCYC:LMRG_02157|LMRG_02157|FIG000166: LSU ribosomal protein L15p (L27Ae)|PlantCyc_Gene|Gene
PCYC:LMRG_02728|LMRG_02728|FIG001466: Na(+) H(+) antiporter subunit F|PlantCyc_Gene|Gene
PCYC:LMRG_01823|LMRG_01823|Glycine cleavage system H protein|PlantCyc_Gene|Gene
PCYC:LMRG_01146|LMRG_01146|Putative glucosamine-fructose-6-phosphate aminotransferase|PlantCyc_Gene|Gene
PCYC:LMRG_02943|LMRG_02943|FIG041038: DNA polymerase III alpha subunit (EC 2.7.7.7)|PlantCyc_Gene|Gene
PCYC:LMRG_00502|LMRG_00502|FIG021644: Molybdenum ABC transporter, periplasmic molybdenum-binding protein ModA (TC 3.A.1.8.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02399|LMRG_02399|FIG059280: Zinc ABC transporter, ATP-binding protein ZnuC|PlantCyc_Gene|Gene
PCYC:LMRG_00075|LMRG_00075|Transcriptional repressor of the myo-inositol catabolic operon DeoR family|PlantCyc_Gene|Gene
PCYC:LMRG_02719|LMRG_02719|FIG000132: Aspartokinase (EC 2.7.2.4)|PlantCyc_Gene|Gene
PCYC:LMRG_01959|LMRG_01959|FIG008448: transcriptional regulator, LacI family|PlantCyc_Gene|Gene
PCYC:LMRG_02031|LMRG_02031|FIG007796: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02059|LMRG_02059|FIG005991: peptidase, U32 family small subunit [C1]|PlantCyc_Gene|Gene
PCYC:LMRG_01098|LMRG_01098|Segregation and condensation protein A|PlantCyc_Gene|Gene
PCYC:LMRG_00668|LMRG_00668|Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)|PlantCyc_Gene|Gene
PCYC:LMRG_01286|LMRG_01286|FIG000683: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)|PlantCyc_Gene|Gene
PCYC:LMRG_01401|LMRG_01401|FIG000600: Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)|PlantCyc_Gene|Gene
PCYC:LMRG_01370|LMRG_01370|FIG025970: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_02191|LMRG_02191|Protein of unknown function DUF1341|PlantCyc_Gene|Gene
PCYC:LMRG_00903|LMRG_00903|4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)|PlantCyc_Gene|Gene
PCYC:LMRG_02686|LMRG_02686|Heme efflux system permease HrtB|PlantCyc_Gene|Gene
PCYC:LMRG_01907|LMRG_01907|Chromosome (plasmid) partitioning protein ParB|PlantCyc_Gene|Gene
PCYC:LMRG_01761|LMRG_01761|FIG008955: Hypothetical protein, homolog of fig|393130.3.peg.2627|PlantCyc_Gene|Gene
PCYC:LMRG_02525|bceB;lmo1746|Bacitracin export permease protein BceB|PlantCyc_Gene|Gene
PCYC:LMRG_00726|LMRG_00726|tRNA:m(5)U-54 MTase gid|PlantCyc_Gene|Gene
PCYC:LMRG_00688|LMRG_00688|FIG007327: DUF1801 domain-containing protein|PlantCyc_Gene|Gene
PCYC:LMRG_01662|LMRG_01662|FIG005810: Enoyl-[acyl-carrier-protein] reductase [FMN] (EC 1.3.1.9) homolog|PlantCyc_Gene|Gene
PCYC:LMRG_01327|LMRG_01327|DNA-3-methyladenine glycosylase (EC 3.2.2.20)|PlantCyc_Gene|Gene
PCYC:LMRG_02491|LMRG_02491|FtsK/SpoIIIE family protein, putative secretion system component EssC/YukA|PlantCyc_Gene|Gene
PCYC:LMRG_00679|LMRG_00679|FIG012120: Thioredoxin|PlantCyc_Gene|Gene
PCYC:LMRG_00309|LMRG_00309|FIG009819: hypothetical protein|PlantCyc_Gene|Gene
PCYC:LMRG_00054|LMRG_00054|Twin-arginine translocation protein TatA|PlantCyc_Gene|Gene
PCYC:LMRG_01514|LMRG_01514|FIG029458: Repressor (CI-like) [Bacteriophage A118]|PlantCyc_Gene|Gene
PCYC:LMRG_02308|LMRG_02308|Protoporphyrinogen IX oxidase, aerobic (EC 1.3.3.4)|PlantCyc_Gene|Gene
PCYC:LMRG_02600|LMRG_02600|FIG012334: ComEC like protein FIG012334|PlantCyc_Gene|Gene
PCYC:LMRG_00437|LMRG_00437|FIG012717: Transcriptional regulator, Cro/CI family|PlantCyc_Gene|Gene
PCYC:LMRG_00933|LMRG_00933|SSU ribosomal protein S20p|PlantCyc_Gene|Gene
PCYC:LMRG_01044|LMRG_01044|Aspartate aminotransferase (EC 2.6.1.1)|PlantCyc_Gene|Gene
PCYC:LMRG_02675|mcsB|McsB|PlantCyc_Gene|Gene
